Hugo Symbol	OncoG_TSG
SOX2	Oncogene
SPEN	TSG
SRC	Oncogene
STAT3	Oncogene
SUFU	TSG
SYK	Oncogene
TENT5C	TSG
TGFBR2	TSG
TNFRSF14	TSG
TSC2	TSG
XPO1	Oncogene
AKT3	Oncogene
ARAF	Oncogene
ARID1B	TSG
AURKA	Oncogene
AURKB	Oncogene
AXL	Oncogene
BCL10	TSG
BCORL1	TSG
BCR	Oncogene
BLM	TSG
BTG1	TSG
CDK8	Oncogene
CDKN2B	TSG
CHEK1	TSG
CRKL	Oncogene
CYLD	TSG
DOT1L	Oncogene
EED	TSG
EIF4A2	Oncogene
EPHA3	TSG
EPHB1	Both
ERCC4	TSG
ETV1	Oncogene
FAS	TSG
FGF19	Oncogene
FGF3	Oncogene
FGF4	Oncogene
FH	TSG
FLT1	Oncogene
FLT4	Oncogene
FOXO1	TSG
FOXP1	Both
GRIN2A	TSG
GSK3B	Oncogene
ID3	TSG
IGF1R	Oncogene
IKBKE	Oncogene
IL7R	Oncogene
INPP4B	TSG
IRS2	Oncogene
KLF4	Both
LMO1	Oncogene
MAP3K13	Oncogene
MCL1	Oncogene
MEF2B	Oncogene
MRE11	TSG
MSH3	TSG
MSI2	Oncogene
NBN	TSG
NCOR1	TSG
NFKBIA	TSG
NSD1	Both
NT5C2	Oncogene
P2RY8	TSG
PDCD1	Oncogene
PIK3CB	Oncogene
PMS2	TSG
POLD1	TSG
POLE	TSG
POT1	TSG
PPARG	Oncogene
RAC1	Oncogene
RAD50	TSG
RAD51	TSG
RAD51B	TSG
RBM10	TSG
REL	Oncogene
RHOA	Oncogene
RICTOR	Oncogene
RPTOR	Oncogene
SETBP1	Oncogene
SOX9	Both
STAT5B	Oncogene
SUZ12	TSG
TBX3	TSG
TCF3	TSG
TERT	Oncogene
TET1	TSG
TOP1	Oncogene
TP63	Both
TSHR	Oncogene
ACVR1	Oncogene
ACVR1B	TSG
ALOX12B	Both
AXIN2	TSG
BCL11B	TSG
BMPR1A	TSG
CDKN1A	TSG
CIITA	TSG
CUL3	TSG
CUX1	TSG
DDX3X	TSG
DICER1	TSG
DIS3	TSG
DNMT1	Oncogene
EPHA7	Both
ERCC2	TSG
ERCC3	TSG
ERCC5	TSG
ERRFI1	TSG
ETV4	Oncogene
ETV5	Oncogene
EWSR1	Oncogene
FANCD2	TSG
FANCG	TSG
FAT1	TSG
FBXO11	TSG
FOXA1	Both
GLI1	Oncogene
GNA13	Both
HDAC1	Oncogene
HLA-A	TSG
IKZF3	Both
INHBA	Both
LATS1	TSG
LATS2	TSG
LYN	Oncogene
MAP3K14	Oncogene
MAX	TSG
MST1R	Oncogene
MYB	Oncogene
MYOD1	TSG
NOTCH3	Both
PARP1	TSG
PHOX2B	TSG
PIK3CG	Oncogene
PIK3R2	TSG
PLCG2	Oncogene
PPM1D	Oncogene
PPP6C	TSG
PRKCI	Oncogene
PRKN	TSG
PTPRT	TSG
RAD51C	TSG
RAD51D	TSG
RECQL4	TSG
RRAS2	Oncogene
RUNX1T1	Oncogene
SDHAF2	TSG
SGK1	Oncogene
SH2B3	TSG
SMAD3	TSG
STAT5A	Oncogene
STAT6	Oncogene
TBL1XR1	Oncogene
TCF7L2	TSG
TMEM127	TSG
VEGFA	Oncogene
WWTR1	Oncogene
XRCC2	TSG
ZFHX3	TSG
ABL2	Oncogene
ABRAXAS1	TSG
AFF4	Oncogene
ANKRD11	TSG
ARHGAP26	Both
ARHGAP35	Both
ARHGEF12	Both
ARID5B	TSG
ASXL2	TSG
ATF1	Oncogene
ATIC	Oncogene
BBC3	TSG
BCL2L11	TSG
BCL3	Oncogene
BCL7A	TSG
BCL9	Oncogene
BTG2	TSG
CBFA2T3	TSG
CCNQ	TSG
CD276	Oncogene
CD58	TSG
CD70	Oncogene
CD74	Oncogene
CDC42	Oncogene
COL1A1	Oncogene
COP1	Oncogene
CTLA4	Oncogene
CTNNA1	TSG
CYSLTR2	Oncogene
DCUN1D1	Oncogene
DEK	Oncogene
DNM2	Oncogene
DNMT3B	TSG
DTX1	TSG
DUSP22	TSG
DUSP4	TSG
E2F3	Oncogene
EGFL7	Oncogene
EIF4E	Oncogene
ELF3	Both
ELF4	Oncogene
ELL	Oncogene
EMSY	Oncogene
EPCAM	TSG
ERF	TSG
EZH1	Oncogene
FANCE	TSG
FANCF	TSG
FANCL	TSG
FGF10	Oncogene
FGF14	TSG
FGF23	Oncogene
FGF6	Oncogene
FHIT	TSG
FLI1	Oncogene
FUS	Oncogene
FYN	Oncogene
GNA12	Oncogene
GNB1	Oncogene
GPS2	TSG
GREM1	Oncogene
H1-3	TSG
H1-4	Oncogene
H2AC17	Oncogene
HDAC4	Both
HDAC7	Oncogene
HIF1A	Oncogene
HLA-B	TSG
HMGA1	Oncogene
HMGA2	Oncogene
HOXA11	TSG
HOXB13	Both
HSP90AA1	Oncogene
ICOSLG	Oncogene
IFNGR1	TSG
IGF1	Oncogene
IGF2	Oncogene
INHA	TSG
INPPL1	TSG
INSR	Oncogene
IRF1	TSG
IRF8	TSG
IRS1	Oncogene
JARID2	Both
KLHL6	Both
KMT2B	TSG
LCK	Oncogene
LEF1	Oncogene
LMO2	Oncogene
LRP1B	TSG
LZTR1	TSG
MAFB	Oncogene
MAPK3	Oncogene
MECOM	Oncogene
MGA	TSG
MLLT10	Oncogene
MLLT3	Oncogene
MN1	Oncogene
MSI1	Oncogene
MST1	TSG
MTAP	TSG
MYH11	TSG
NCOA3	Oncogene
NCSTN	Oncogene
NKX3-1	TSG
NOTCH4	Both
NR4A3	Oncogene
NTHL1	TSG
NUF2	Oncogene
NUP214	Oncogene
NUP98	Oncogene
PAK1	Oncogene
PAK5	Oncogene
PAX3	Oncogene
PAX7	Oncogene
PDGFB	Oncogene
PDK1	Oncogene
PGR	Oncogene
PIK3CD	Oncogene
PIK3R3	TSG
PLCG1	Oncogene
PMAIP1	TSG
PML	TSG
PMS1	TSG
PTPN2	TSG
PTPRD	TSG
PTPRS	TSG
QKI	TSG
RAB35	Oncogene
RAC2	Oncogene
RASA1	TSG
RBM15	Both
RECQL	TSG
RHEB	Oncogene
RIT1	Oncogene
RPS6KA4	Oncogene
RPS6KB2	Oncogene
RRAGC	Oncogene
RRAS	Oncogene
RTEL1	TSG
RYBP	TSG
SESN1	TSG
SESN2	TSG
SESN3	TSG
SET	Oncogene
SETDB1	Both
SH2D1A	TSG
SHOC2	Oncogene
SHQ1	TSG
SLX4	TSG
SMARCE1	Both
SMC1A	TSG
SMC3	TSG
SMYD3	Oncogene
SOS1	Oncogene
SOX17	TSG
SPRED1	TSG
SS18	Oncogene
STK19	Oncogene
TAL1	Oncogene
TCL1A	Oncogene
TFE3	Oncogene
TGFBR1	TSG
TLX1	Oncogene
TLX3	Oncogene
TNFRSF17	Oncogene
TP53BP1	TSG
TRAF3	TSG
TRAF5	TSG
TYK2	Oncogene
UBR5	Oncogene
USP8	Oncogene
XBP1	Oncogene
XIAP	Oncogene
YAP1	Oncogene
YES1	Oncogene
ZNF217	Oncogene
ACKR3	Both
ACTG1	TSG
AGO1	Oncogene
APLNR	Both
ARHGEF28	Oncogene
ARID3A	TSG
ARID3B	Oncogene
ARID4A	TSG
ARID4B	TSG
ATP1A1	Both
ATP6V1B2	TSG
ATXN2	TSG
ATXN7	Oncogene
BACH2	TSG
BRD3	Oncogene
BRSK1	TSG
CACNA1D	Oncogene
CAD	Oncogene
CANT1	Oncogene
CD28	Oncogene
CDH11	Oncogene
CHD2	TSG
CHD4	Oncogene
CMTR2	TSG
COL2A1	TSG
CRBN	TSG
CREB1	Oncogene
CTR9	TSG
CUL4A	Oncogene
CYP19A1	Oncogene
DDB2	TSG
DDX5	Oncogene
ECT2L	TSG
EGR1	TSG
ELK4	Oncogene
ELN	Oncogene
EP400	TSG
EPHB4	Oncogene
EPOR	Oncogene
ERC1	Oncogene
ESCO2	TSG
ETAA1	TSG
ETS1	Both
EXT1	TSG
EZHIP	Oncogene
FES	Oncogene
FOXF1	Both
FRS2	Oncogene
FURIN	Oncogene
GAB1	Oncogene
GAB2	Oncogene
GABRA6	Oncogene
GATA4	TSG
GATA6	Oncogene
GPC3	Oncogene
GTF2I	Oncogene
H1-5	TSG
HIRA	TSG
HLA-C	TSG
HSD3B1	Oncogene
IL3	Oncogene
IL6ST	Oncogene
IRF2	TSG
KEL	Oncogene
KLF5	Oncogene
KSR2	Oncogene
LTB	Both
LTK	Oncogene
MAD2L2	Both
MAP3K7	Oncogene
MEF2C	Both
MERTK	Oncogene
MGAM	Oncogene
MKI67	Oncogene
MOB3B	TSG
MYO5A	Oncogene
NADK	Oncogene
NFE2	Oncogene
NRG1	Oncogene
PAX8	Oncogene
PDS5B	TSG
PGBD5	Oncogene
PIGA	TSG
PIK3C2B	Oncogene
PPP2R2A	TSG
PRKACA	Oncogene
PRKDC	Both
PTPN1	Both
PTPN13	TSG
RANBP2	Oncogene
REST	TSG
ROBO1	TSG
RPL5	TSG
SAMHD1	TSG
SCG5	Oncogene
SERPINB3	Both
SETD1A	Oncogene
SETDB2	TSG
SLFN11	TSG
SMARCA2	TSG
SMG1	TSG
SOCS3	TSG
SOX10	Oncogene
SP140	TSG
SPRTN	TSG
STAG1	TSG
STAT4	Oncogene
TAF1	Oncogene
TET3	TSG
TRA	Oncogene
TRB	Oncogene
TRD	Oncogene
TRG	Oncogene
TRIM27	Oncogene
TRIP13	Both
VAV1	Oncogene
VAV2	Oncogene
WIF1	TSG
XPC	TSG
ZBTB7A	Both
ZMYM3	TSG
ZNRF3	TSG
ADHFE1	Oncogene
AJUBA	TSG
ALDH1L2	Oncogene
ALDH2	TSG
ANKRD26	Oncogene
ATRIP	TSG
BAALC	Oncogene
CCNB3	Oncogene
CD19	Oncogene
CDH2	Oncogene
CDH4	Oncogene
CHTF8	TSG
DDX4	Oncogene
DDX41	TSG
ECSIT	Oncogene
EIF2B1	TSG
ERCC1	TSG
FANCM	TSG
FGF1	Oncogene
FGF2	Oncogene
FGF5	Oncogene
FGF7	Oncogene
FGF8	Oncogene
FGF9	Oncogene
FOLH1	Oncogene
FOLR1	Oncogene
FOXN4	Oncogene
FSTL1	Oncogene
FZR1	Both
GRB7	Oncogene
HDAC2	Oncogene
HFE	Oncogene
HSD17B2	TSG
HTATIP2	TSG
ID1	Oncogene
ING1	TSG
INTS6	TSG
IQGAP1	Oncogene
ITPKB	Oncogene
KAT7	Oncogene
KDM5D	Both
KLF2	TSG
KLF3	TSG
LGR5	Oncogene
LRP5	Both
LRP6	Oncogene
MAL2	TSG
MAP3K21	Oncogene
MAP4K4	Oncogene
MBD4	TSG
MBD6	TSG
MEF2D	Oncogene
MIDEAS	TSG
MLH3	TSG
MTHFD2	Oncogene
MYBL1	Oncogene
NQO1	Oncogene
ONECUT2	Oncogene
PHF19	Oncogene
PHLPP1	TSG
PHLPP2	TSG
POU2F2	Oncogene
POU3F2	Oncogene
POU3F4	Oncogene
PRPF8	TSG
PSMB2	Oncogene
PTPN14	TSG
RAD17	TSG
REV3L	Oncogene
RNASEH2A	Oncogene
RNASEH2B	TSG
RPS15	Oncogene
SF3B2	Oncogene
SFRP1	TSG
SFRP2	Both
SLC9A3R1	Both
SLIT3	TSG
SQSTM1	Oncogene
SRP72	Oncogene
TCL1B	Oncogene
TIGAR	Oncogene
TNFSF13	Oncogene
TOP2A	Oncogene
TRIB3	Oncogene
UBE2A	Oncogene
UCHL1	Oncogene
WWP1	Oncogene
XRCC1	TSG
YY1	Oncogene
ZBTB20	Both
ZFP36L1	TSG
ZFP36L2	TSG
ZNF750	TSG
